Location,Lived,Memory
1,"Elbasan, Albania",1,"Born and raised!"
2,"Padova, Italy",0,"Visited attending IPHO 19"
3,"Venice, Italy",0,"Visited attending IPHO 19"
4,"Treviso, Italy",0,"Visited attending IPHO 19"
5,"Skopje, North Macedonia",0,"University entrance exam"
6,"Istanbul, Turkey",1,"College: Bogazici"
7,"Austin, Texas, USA",1,"Graduate school: UT Austin"
8,"Houston, Texas, USA",1,"Since 2012"
9,"San Antonio, Texas, USA",0,"Several visits"
10,"West Lafayette, IN, USA",0,"Purdue Summer school"
11,"New York, NY, USA",0,"Several Visits"
12,"San Francisco, CA, USA",0,"ARMA 2015"
13,"Albuquerque, NM",0,"Visited"
14,"Destin, FL, USA",0,"Summer vacation"
15,"South Padre, TX",0,"Summer vacation"
16,"El Paso, TX",0,"Several visits"
17,"Ciudad Juarez, Mexico",0,"Visited"
18,"Sand Diego, CA",0,"Visited"
19,"Dammam, Saudi Arabia",0,"Consulting project"
20,"Oslo, Norway",0,"Consulting project"
21,"Kuala Lumpur, Malaysia",0,"Consulting project"
22,"Bangkok, Thailand",0,"Consulting project"
23,"Adelaide, Australia",0,"Consulting project"
24,"Luanda, Angola",1,"Expat consultant"
25,"Algiers, Algeria",1,"Expat consultant"
26,"Rio de Janeiro, Brazil",0,"Consulting project"
27,"Lome, Togo",0,"Consulting project"
28,"Accra, Ghana",0,"Consulting project"
